child,teacher,parent1,parent2,clinician,Admin
child1@asapscotland.org,teacher1@asapscotland.org,parent1@asapscotland.org,parent2@asapscotland.org,clinician1@asapscotland.org,admin1@asapscotland.org
child2@asapscotland.org,teacher2@asapscotland.org,parent2@asapscotland.org,parent3@asapscotland.org,clinician1@asapscotland.org,admin1@asapscotland.org
child3@asapscotland.org,teacher3@asapscotland.org,parent3@asapscotland.org,parent4@asapscotland.org,clinician1@asapscotland.org,admin1@asapscotland.org
child4@asapscotland.org,teacher4@asapscotland.org,parent4@asapscotland.org,parent5@asapscotland.org,clinician2@asapscotland.org,admin2@asapscotland.org
child5@asapscotland.org,teacher5@asapscotland.org,parent5@asapscotland.org,parent6@asapscotland.org,clinician2@asapscotland.org,admin2@asapscotland.org
child6@asapscotland.org,teacher6@asapscotland.org,parent6@asapscotland.org,parent7@asapscotland.org,clinician2@asapscotland.org,admin2@asapscotland.org
child7@asapscotland.org,teacher7@asapscotland.org,parent7@asapscotland.org,parent1@asapscotland.org,clinician2@asapscotland.org,admin2@asapscotland.org
child1@age-otori.com,teacher1@age-otori.com,parent1@age-otori.com,parent2@age-otori.com,clinician1@age-otori.com,admin1@age-otori.com
child2@age-otori.com,teacher2@age-otori.com,parent2@age-otori.com,parent3@age-otori.com,clinician1@age-otori.com,admin1@age-otori.com
child3@age-otori.com,teacher3@age-otori.com,parent3@age-otori.com,parent4@age-otori.com,clinician1@age-otori.com,admin1@age-otori.com
child4@age-otori.com,teacher4@age-otori.com,parent4@age-otori.com,parent5@age-otori.com,clinician2@age-otori.com,admin2@age-otori.com
child5@age-otori.com,teacher5@age-otori.com,parent5@age-otori.com,parent6@age-otori.com,clinician2@age-otori.com,admin2@age-otori.com
child6@age-otori.com,teacher6@age-otori.com,parent6@age-otori.com,parent7@age-otori.com,clinician2@age-otori.com,admin2@age-otori.com
child7@age-otori.com,teacher7@age-otori.com,parent7@age-otori.com,parent1@age-otori.com,clinician2@age-otori.com,admin2@age-otori.com
